,name,parents
429,betweenness0diversity0pagerank-1peel1degree-1,diversity0pagerank-1peel1degree-1
430,betweenness2diversity0pagerank-1peel1degree-1,diversity0pagerank-1peel1degree-1
431,betweenness-1diversity-2pagerank-1peel1degree-1,diversity-2pagerank-1peel1degree-1
432,betweenness2diversity-2pagerank-1peel1degree-1,diversity-2pagerank-1peel1degree-1
433,betweenness1diversity-2pagerank-1peel1degree-1,diversity-2pagerank-1peel1degree-1
434,betweenness0diversity-2pagerank-1peel1degree-1,diversity-2pagerank-1peel1degree-1
435,betweenness1diversity1pagerank-1peel1degree-1,diversity1pagerank-1peel1degree-1
436,betweenness-1diversity1pagerank-1peel1degree-1,diversity1pagerank-1peel1degree-1
437,betweenness0diversity1pagerank-1peel1degree-1,diversity1pagerank-1peel1degree-1
438,betweenness-1diversity-1pagerank-1peel1degree-1,diversity-1pagerank-1peel1degree-1
439,betweenness2diversity-1pagerank-1peel1degree-1,diversity-1pagerank-1peel1degree-1
440,betweenness3diversity-1pagerank-1peel1degree-1,diversity-1pagerank-1peel1degree-1
441,betweenness0diversity-1pagerank-1peel1degree-1,diversity-1pagerank-1peel1degree-1
442,betweenness0diversity-4pagerank-1peel1degree-1,diversity-4pagerank-1peel1degree-1
443,betweenness0diversity-1pagerank1peel1degree-1,diversity-1pagerank1peel1degree-1
444,betweenness-1diversity-1pagerank1peel1degree-1,diversity-1pagerank1peel1degree-1
445,betweenness-1diversity-2pagerank1peel1degree-1,diversity-2pagerank1peel1degree-1
446,betweenness0diversity-2pagerank1peel1degree-1,diversity-2pagerank1peel1degree-1
447,betweenness1diversity0pagerank1peel1degree-1,diversity0pagerank1peel1degree-1
448,betweenness-1diversity0pagerank1peel1degree-1,diversity0pagerank1peel1degree-1
449,betweenness0diversity1pagerank1peel1degree-1,diversity1pagerank1peel1degree-1
450,betweenness-1diversity1pagerank1peel1degree-1,diversity1pagerank1peel1degree-1
451,betweenness-1diversity0pagerank2peel1degree-1,diversity0pagerank2peel1degree-1
452,betweenness0diversity0pagerank2peel1degree-1,diversity0pagerank2peel1degree-1
453,betweenness0diversity-2pagerank2peel1degree-1,diversity-2pagerank2peel1degree-1
454,betweenness0diversity0pagerank6peel1degree-1,diversity0pagerank6peel1degree-1
455,betweenness0diversity0pagerank-1peel-2degree-1,diversity0pagerank-1peel-2degree-1
456,betweenness-1diversity1pagerank1peel-2degree-1,diversity1pagerank1peel-2degree-1
457,betweenness0diversity-1pagerank1peel-2degree-1,diversity-1pagerank1peel-2degree-1
458,betweenness0diversity0pagerank0peel-2degree-1,diversity0pagerank0peel-2degree-1
459,betweenness0diversity-1pagerank4peel-2degree-1,diversity-1pagerank4peel-2degree-1
460,betweenness0diversity0pagerank4peel-2degree-1,diversity0pagerank4peel-2degree-1
461,betweenness-1diversity0pagerank2peel-2degree-1,diversity0pagerank2peel-2degree-1
462,betweenness0diversity-2pagerank2peel-2degree-1,diversity-2pagerank2peel-2degree-1
463,betweenness0diversity0pagerank3peel-2degree-1,diversity0pagerank3peel-2degree-1
464,betweenness-1diversity1pagerank0peel0degree-1,diversity1pagerank0peel0degree-1
465,betweenness1diversity1pagerank0peel0degree-1,diversity1pagerank0peel0degree-1
466,betweenness2diversity-1pagerank0peel0degree-1,diversity-1pagerank0peel0degree-1
467,betweenness-1diversity-1pagerank0peel0degree-1,diversity-1pagerank0peel0degree-1
468,betweenness0diversity-1pagerank0peel0degree-1,diversity-1pagerank0peel0degree-1
469,betweenness-1diversity0pagerank0peel0degree-1,diversity0pagerank0peel0degree-1
470,betweenness1diversity0pagerank0peel0degree-1,diversity0pagerank0peel0degree-1
471,betweenness0diversity-2pagerank0peel0degree-1,diversity-2pagerank0peel0degree-1
472,betweenness-1diversity-2pagerank-1peel0degree-1,diversity-2pagerank-1peel0degree-1
473,betweenness4diversity-2pagerank-1peel0degree-1,diversity-2pagerank-1peel0degree-1
474,betweenness0diversity-2pagerank-1peel0degree-1,diversity-2pagerank-1peel0degree-1
475,betweenness-1diversity1pagerank-1peel0degree-1,diversity1pagerank-1peel0degree-1
476,betweenness1diversity1pagerank-1peel0degree-1,diversity1pagerank-1peel0degree-1
477,betweenness0diversity1pagerank-1peel0degree-1,diversity1pagerank-1peel0degree-1
478,betweenness-1diversity0pagerank-1peel0degree-1,diversity0pagerank-1peel0degree-1
479,betweenness0diversity0pagerank-1peel0degree-1,diversity0pagerank-1peel0degree-1
480,betweenness4diversity0pagerank-1peel0degree-1,diversity0pagerank-1peel0degree-1
481,betweenness2diversity0pagerank-1peel0degree-1,diversity0pagerank-1peel0degree-1
482,betweenness0diversity-4pagerank-1peel0degree-1,diversity-4pagerank-1peel0degree-1
483,betweenness1diversity0pagerank2peel0degree-1,diversity0pagerank2peel0degree-1
484,betweenness-1diversity0pagerank2peel0degree-1,diversity0pagerank2peel0degree-1
